tx, ty, tz 
1.5709798390162177e-05, 3.0147395591484383e-05, -8.360037099919282e-06
1.6545900507480837e-05, 2.9835466648364672e-06, -1.690028511802666e-05
2.4881250283215195e-05, -1.4242033103073481e-05, -3.9115024264901876e-05
2.9508575607906096e-05, -4.521139544522157e-06, -4.433872891240753e-05
4.328172144596465e-05, -1.4407713933906052e-05, -2.3075279386830516e-05
3.791232666117139e-05, -2.9797163278999506e-06, -4.3452975660329685e-05
5.183746907277964e-05, -5.2232633606763557e-05, -4.124371480429545e-05
6.252338062040508e-05, -4.648766844184138e-05, -4.931644434691407e-05
7.425620424328372e-05, -5.287350722937845e-05, -3.317628943477757e-05
8.834922482492402e-05, -3.701430614455603e-05, -2.836160820152145e-05
7.202759297797456e-05, -6.094909258536063e-05, -5.633530963677913e-05
7.69891994423233e-05, -6.953584670554847e-05, -6.518887676065788e-05
8.673567208461463e-05, -9.008526831166819e-05, -5.486289592226967e-05
7.72870407672599e-05, -3.938264126190916e-05, -2.8439950256142765e-05
8.597887790529057e-05, -8.244556374847889e-05, -2.3193206288851798e-05
8.827788406051695e-05, -7.684227603022009e-05, -2.3974524083314463e-05
9.849850903265178e-05, -5.0241149438079447e-05, -1.5105392776604276e-05
0.00010798427683766931, -5.1697912567760795e-05, -2.422210127406288e-05
0.00011080246622441337, -6.177885370561853e-05, -9.559224054100923e-06
0.00011469521996332332, -7.672938227187842e-05, -3.7980457818775903e-06
0.00010093260061694309, -7.812208059476689e-05, -6.817504981881939e-06
0.00010715074313338846, -9.355130168842152e-05, -1.3239109648566227e-05
8.333074219990522e-05, -0.0001010827036225237, -3.759159881155938e-05
8.860700472723693e-05, -8.256332512246445e-05, -2.5131377697107382e-05
9.742310794536024e-05, -0.00012432032963261008, -4.2365478293504566e-05
0.0001042930016410537, -0.00013504379603546113, -3.734825804713182e-05
0.0001089174475055188, -0.0001413900899933651, -2.811914964695461e-05
0.00011601197184063494, -0.0001447110262233764, -3.666038537630811e-05
0.00011869984155055135, -0.0001404195645591244, -3.357149398652837e-05
0.00012704516120720655, -0.00014219610602594912, -2.8164833565824665e-05
9.000471618492156e-05, -0.00012562972551677376, -4.5953776862006634e-05
7.46099540265277e-05, -0.00016072031576186419, -6.556497828569263e-05
8.929310570238158e-05, -0.00016833661356940866, -6.473648682003841e-05
9.924577898345888e-05, -0.00014524286962114275, -5.1564755267463624e-05
0.00012186226376798004, -0.00013885291991755366, -3.4897126170108095e-05
0.00012698859791271389, -0.00013891556591261178, -3.132380879833363e-05
0.0001319695293204859, -0.00014936763909645379, -2.976172800117638e-05
0.00010993720206897706, -0.00013650933397002518, -7.297963747987524e-05
9.716876957099885e-05, -0.0001462325017200783, -9.806764137465507e-05
0.00010781559103634208, -0.0001621847623027861, -0.00010588167060632259
0.00011228783841943368, -0.00014160663704387844, -0.00012158277240814641
0.00012850738130509853, -0.00014487550652120262, -7.423197530442849e-05
0.0001424860820407048, -0.00014582813309971243, -6.34879179415293e-05
0.0001503326784586534, -0.00016281138232443482, -6.847004988230765e-05
0.00015820063708815724, -0.000164929311722517, -5.937240712228231e-05
0.00016866103396750987, -9.148918616119772e-05, -7.894582813605666e-05
0.00018240288773085922, -0.00010166763240704313, -8.653351687826216e-05
0.0001812982518458739, -0.00011599930439842865, -8.308785618282855e-05
0.00018964277114719152, -0.00011827713751699775, -7.532606105087325e-05
0.00019419423188082874, -0.00013367719657253474, -8.223827899200842e-05
0.00019713561050593853, -0.00015270861331373453, -7.053226727293804e-05
0.00020174523524474353, -0.0001790569949662313, -7.72259954828769e-05
0.00020897600916214287, -0.00019451913249213248, -7.986190030351281e-05
0.00021823284623678774, -0.0003152370627503842, -0.00010681763524189591
0.0002028295857599005, -0.0002552328514866531, -0.00010544755787122995
0.00018402645946480334, -0.0002226187352789566, -0.00012773297203239053
0.0001841696648625657, -0.0001985920243896544, -0.00012269271246623248
0.00019213755149394274, -0.00020952253544237465, -0.00012902631715405732
0.00020133081125095487, -0.00027102036983706057, -0.00012902996968477964
0.00019916801829822361, -0.0002578168350737542, -0.00011701649782480672
0.00019625038839876652, -0.00027817185036838055, -0.00013290051720105112
0.00021016715618316084, -0.0003202742082066834, -0.00012652215082198381
0.0002177203568862751, -0.0003150882839690894, -0.00013233347272034734
0.0002235513529740274, -0.00031187725835479796, -0.0001438911713194102
0.00023744828649796546, -0.0003421495493967086, -0.00017983661382459104
0.0002331154973944649, -0.0003460183506831527, -0.0001815985597204417
0.00023224127653520554, -0.00031883802148513496, -0.00015607969544362277
0.0002313170989509672, -0.00031949341064319015, -0.00014846787962596864
0.0002327693800907582, -0.00030903483275324106, -0.00014391860167961568
0.00023387532564811409, -0.0002905016008298844, -0.00013668733299709857
0.00022795118275098503, -0.0002826210402417928, -0.00015284401888493448
0.00022807240020483732, -0.0002982864389196038, -0.0001414859143551439
0.00023467399296350777, -0.00034395113470964134, -0.0001367288059554994
0.00023649679496884346, -0.0003769767936319113, -0.0001376971194986254
0.00022753479424864054, -0.00040282326517626643, -0.00018485555483493954
0.00023165435413829982, -0.00040085817454382777, -0.0001960898080142215
0.0002515799133107066, -0.00038659165147691965, -0.00018839427502825856
0.00025997881311923265, -0.000501470931340009, -0.00020591494103427976
0.0002719824551604688, -0.0005023388075642288, -0.00019188910664524883
0.00027270097052678466, -0.00045080692507326603, -0.00018217292381450534
0.0002791964798234403, -0.0004507640260271728, -0.00020118521933909506
